"COUNTY","STNAME","YEAR","age_under_5","AGE04_TOT","AGE59_TOT","AGE1014_TOT","AGE1519_TOT","AGE2024_TOT","AGE2529_TOT","AGE3034_TOT","AGE3539_TOT","AGE4044_TOT","AGE4549_TOT","AGE5054_TOT","AGE5559_TOT","AGE6064_TOT","AGE6569_TOT","AGE7074_TOT","AGE7579_TOT","AGE8084_TOT","AGE85PLUS_TOT"
"1","Alabama",2010,3575,3575,3964,4292,4228,3151,3188,3369,4142,4116,4321,3908,3119,2789,2289,1752,1259,743,556
"1","Alabama",2011,3552,3552,3905,4321,4031,3398,3215,3443,4002,4167,4196,4035,3247,2856,2323,1843,1312,782,601
"1","Alabama",2012,3405,3405,3800,4364,4050,3369,3203,3324,3823,4187,4082,4121,3273,2778,2458,1908,1359,834,632
"1","Alabama",2013,3217,3217,3760,4206,3990,3468,3292,3309,3622,4116,4000,4144,3441,2769,2480,1982,1425,890,636
"1","Alabama",2014,3183,3183,3720,4165,3912,3554,3361,3357,3502,4126,3943,4131,3528,2841,2481,2031,1475,944,668
"1","Alabama",2015,3122,3122,3694,4089,3816,3503,3367,3418,3410,4018,3918,4126,3656,2924,2585,2059,1497,991,710
"1","Alabama",2016,3195,3195,3608,3971,3850,3366,3565,3465,3557,3813,3956,3988,3774,3101,2648,2098,1551,1032,764
"1","Alabama",2017,3286,3286,3552,3867,3825,3288,3671,3497,3583,3655,3943,3910,3933,3068,2619,2232,1630,1088,801
"1","Alabama",2018,3353,3353,3412,3877,3753,3183,3716,3482,3632,3623,3952,3806,3927,3250,2602,2296,1696,1100,873
"1","Alabama",2019,3251,3251,3461,3854,3669,3183,3814,3548,3663,3610,3889,3780,3904,3360,2722,2282,1737,1133,909
"3","Alabama",2010,11156,11156,11620,12020,11618,9564,10282,10803,11506,12075,13431,13551,12636,12090,10222,7705,5616,3970,3256
"3","Alabama",2011,11243,11243,11762,12286,11608,9945,10409,11138,11180,12491,13174,13803,13041,12694,10459,8076,5831,4105,3334
"3","Alabama",2012,11217,11217,11971,12365,11631,10603,10490,11231,11290,12837,13058,13861,13555,12547,11384,8479,6080,4120,3484
"3","Alabama",2013,11206,11206,12234,12735,11859,11015,10815,11387,11390,13186,13004,14221,14011,12754,11876,9127,6428,4081,3649
"3","Alabama",2014,11318,11318,12386,12919,12003,11242,11121,11488,11648,13228,12987,14543,14289,13182,12507,9723,6702,4263,3757
"3","Alabama",2015,11592,11592,12392,13049,12268,11237,11417,11544,12129,12950,13200,14447,14537,13787,13118,10182,6948,4404,3900
"3","Alabama",2016,11714,11714,12479,13146,12509,11048,11956,11730,12579,12592,13738,14401,15006,14368,13983,10549,7349,4608,4032
"3","Alabama",2017,11901,11901,12722,13394,12739,10884,12363,11817,12901,12739,14127,14285,15233,15092,13990,11790,7818,4765,4177
"3","Alabama",2018,12006,12006,12824,13895,12872,10960,12510,12097,13295,12911,14445,14268,15777,15660,14250,12472,8490,5077,4262
"3","Alabama",2019,12068,12068,13114,14088,13168,11140,12645,12565,13462,13225,14451,14330,16289,16146,14873,13168,9042,5380,4411
"5","Alabama",2010,1676,1676,1633,1600,1711,1795,1990,1815,1799,1798,2100,1893,1826,1786,1303,940,687,534,439
"5","Alabama",2011,1663,1663,1644,1605,1607,1817,1948,1894,1740,1822,2080,1881,1833,1798,1377,947,708,519,461
"5","Alabama",2012,1582,1582,1635,1643,1557,1802,1962,1866,1663,1842,1974,1909,1783,1777,1489,980,732,494,482
"5","Alabama",2013,1556,1556,1625,1626,1469,1819,1926,1874,1642,1802,1863,1935,1747,1760,1510,1068,758,484,482
"5","Alabama",2014,1532,1532,1676,1594,1412,1827,1935,1882,1569,1778,1770,1947,1713,1711,1574,1094,779,500,475
"5","Alabama",2015,1462,1462,1622,1583,1411,1750,1839,1866,1614,1679,1707,1856,1694,1660,1622,1171,771,517,476
