"YEAR","AgeGroup","Count"
1850,"0-9",5731010
1850,"10-19",4616410
1850,"100-109",940
1850,"110-119",122
1850,"120-129",16
1850,"130-139",2
1850,"20-29",3709610
1850,"30-39",2477949
1850,"40-49",1624277
1850,"50-59",972437
1850,"60-69",537256
1850,"70-79",232607
1850,"80-89",68753
1850,"90-99",10046
1860,"0-9",5598819
1860,"10-19",4374835
1860,"100-109",878
1860,"110-119",87
1860,"120-129",9
1860,"20-29",3612640
1860,"30-39",2579339
1860,"40-49",1680845
1860,"50-59",1025544
1860,"60-69",574738
1860,"70-79",229368
1860,"80-89",60385
1860,"90-99",8675
1870,"0-9",5281440
1870,"10-19",4494259
1870,"100-109",1506
1870,"110-119",311
1870,"120-129",25
1870,"20-29",3469429
1870,"30-39",2483482
1870,"40-49",1790299
1870,"50-59",1141648
1870,"60-69",643479
1870,"70-79",266506
1870,"80-89",67007
1870,"90-99",9691
1880,"0-9",5094154
1880,"10-19",4078136
1880,"100-109",1284
1880,"110-119",224
1880,"120-129",26
1880,"130-139",2
1880,"20-29",3481086
1880,"30-39",2419674
1880,"40-49",1733052
1880,"50-59",1181624
1880,"60-69",697738
1880,"70-79",296167
1880,"80-89",75644
1880,"90-99",8383
1900,"0-9",4672818
1900,"10-19",4053091
1900,"100-109",716
1900,"110-119",270
1900,"120-129",25
1900,"20-29",3604088
1900,"30-39",2742006
1900,"40-49",2002816
1900,"50-59",1339259
1900,"60-69",802901
1900,"70-79",366264
1900,"80-89",92272
1900,"90-99",14211
1910,"0-9",3068248
1910,"10-19",2728532
1910,"100-109",551
1910,"110-119",54
1910,"120-129",7
1910,"130-139",1
1910,"20-29",2592770
1910,"30-39",2012076
1910,"40-49",1467282
1910,"50-59",996097
1910,"60-69",595218
1910,"70-79",267834
1910,"80-89",67267
1910,"90-99",6851
1920,"0-9",4139557
1920,"10-19",3614516
1920,"100-109",646
1920,"110-119",72
1920,"120-129",13
1920,"20-29",3305894
1920,"30-39",2858821
1920,"40-49",2192265
1920,"50-59",1472987
1920,"60-69",917477
1920,"70-79",407012
1920,"80-89",98677
1920,"90-99",8648
1930,"0-9",3608775
1930,"10-19",3533593
1930,"100-109",4031
1930,"110-119",73
1930,"120-129",5
1930,"20-29",3099333
1930,"30-39",2749050
1930,"40-49",2257777
1930,"50-59",1589275
1930,"60-69",980042
1930,"70-79",457267
1930,"80-89",110935
1930,"90-99",12883
1940,"0-9",3187596
1940,"10-19",3613634
1940,"100-109",467
1940,"110-119",52
1940,"120-129",3
1940,"20-29",3409524
1940,"30-39",2968743
1940,"40-49",2558868
1940,"50-59",1966213
1940,"60-69",1283865
1940,"70-79",612891
1940,"80-89",159303
1940,"90-99",12753
1950,"0-9",3854139
1950,"10-19",2835087
1950,"100-109",601
1950,"110-119",53
1950,"120-129",2
1950,"20-29",3130836
1950,"30-39",2996015
1950,"40-49",2534078
1950,"50-59",2044008
1950,"60-69",1450547
1950,"70-79",734193
1950,"80-89",204052
1950,"90-99",19238
