State,HPop,HpopP10k,HPChange2007to2024,Family Units,Family Beds,Adult only beds,Child Only Beds,Total Yr-Rounds Beds,Seasonal,Overflow/Voucher
Alabama,4601,9,-15.6,259,540,1151,10,1701,0,16
Alaska,2686,37,63.6,128,454,944,40,1438,792,58
Arizona,14737,20,0.6,891,2617,4271,79,6967,50,62
Arkansas,2783,9,-27.5,215,709,856,14,1579,0,10
California,187084,48,34.6,6815,20158,40914,315,61387,1315,773
Colorado,18715,32,31.6,1373,2666,5505,44,8215,799,5179
Connecticut,3410,9,-23.9,272,861,1170,10,2041,131,642
Delaware,1358,13,28,175,464,383,2,849,147,135
District of Columbia,5616,83,5.6,403,1445,2045,15,3505,495,0
Florida,31362,14,-34.8,1377,5017,7386,287,12690,45,174
Georgia,12290,11,-37.4,674,2298,2926,44,5268,65,299
Hawaii,11637,81,91.7,291,1005,1159,9,2173,0,5245
Idaho,2750,14,57.2,246,644,836,26,1506,9,10
Illinois,25832,21,66.8,3758,14081,9650,110,23841,294,311
Indiana,6285,9,-14.6,542,1758,3042,45,4845,464,15
Iowa,2631,8,-3.8,157,511,1052,34,1597,298,158
Kansas,2793,9,32.3,180,663,875,10,1548,324,67
Kentucky,5231,12,-35.1,260,901,1876,65,2842,338,503
Louisiana,3469,8,-36.9,228,751,1684,33,2468,0,51
Maine,2702,19,2.4,395,848,1180,20,2048,0,0
Maryland,6069,10,-37,537,2085,2449,13,4547,288,194
Massachusetts,29360,42,94.1,4789,16070,3689,48,19807,438,8406
Michigan,9739,10,-65.6,915,2916,3902,79,6897,436,443
Minnesota,9201,16,25.6,1009,3283,2542,99,5924,252,337
Mississippi,1041,4,-24.4,57,198,355,11,564,51,0
Missouri,7312,12,17,489,1537,1889,52,3478,368,600
Montana,2008,18,74.6,213,486,940,0,1426,0,0
Nebraska,2720,14,-23,169,687,1532,12,2231,0,140
Nevada,10106,32,16.9,615,1778,2908,10,4696,20,254
New Hampshire,2245,16,-0.1,238,647,708,2,1357,170,51
New Jersey,12762,14,-26.3,1533,3747,2995,36,6778,148,3028
New Mexico,4631,22,53.6,260,1016,1453,68,2537,5,17
New York,158019,81,152.4,26665,82091,39858,142,122091,580,35300
North Carolina,11626,11,-1.5,706,2548,3940,51,6539,203,418
North Dakota,865,11,36,64,240,507,10,757,0,16
Ohio,11759,10,4.4,1074,3300,4717,83,8100,869,722
Oklahoma,5467,13,29.5,295,802,1986,56,2844,0,83
Oregon,22875,54,30,704,1608,6519,101,8228,86,346
Pennsylvania,14088,11,-13.1,1404,4079,5332,40,9451,936,636
Rhode Island,2442,22,78,263,815,858,0,1673,146,43
South Carolina,4593,9,-18.9,147,720,1502,30,2252,423,88
South Dakota,1338,15,131.1,120,465,774,87,1326,0,0
Tennessee,8280,12,-26.1,432,1326,2208,19,3553,166,460
Texas,27987,9,-29.7,1748,5496,10865,190,16551,220,1321
Utah,3869,11,28.5,167,965,1307,76,2348,568,127
Vermont,3458,53,234.1,452,1495,1955,4,3454,59,23
Virginia,7141,8,-26.7,653,2162,2122,15,4299,1445,422
Washington,31554,40,35,1657,5003,9123,160,14286,1124,427
West Virginia,1779,10,-26.2,139,449,667,12,1128,86,17
Wisconsin,5049,9,-10.6,596,1801,1890,68,3759,471,144
Wyoming,501,9,-6.7,56,174,283,23,480,0,10
United States,767856,,,66805,208380,210680,2809,421869,15124,67781
