X.1,Dates in office,Average approval rating
,,%
Harry Truman,April 1945-January 1949,55.6
Dwight Eisenhower,January 1953-January 1957,69.6
John Kennedy,January 1961-November 1963,70.1
Lyndon Johnson,November 1963-January 1965,74.2
Richard Nixon,January 1969-January 1973,55.8
Gerald Ford,August 1974-January 1977,47.2
Jimmy Carter,January 1977-January 1981,45.5
Ronald Reagan,January 1981-January 1985,50.3
George H.W. Bush,January 1989-January 1993,60.9
Bill Clinton,January 1993-January 1997,49.6
George W. Bush,January 2001-January 2005,62.2
Barack Obama,January 2009-January 2013,49.1
Donald Trump,January 2017-January 2021,41.1
Joe Biden,January 2021-January 2025,42.2
